Timestamp,Група,Робота із Python,Робота із табличними даними,Платформа Google Colab/Kaggle ,"Лінійна регресія (least-squares, Ridge/Lasso)","kNN (nearest neighbors, метод найближчих сусідів)",Decision Trees - дерева рішень,SVM - метод опорних векторів,"Ансамблеві алгоритми (random forest, xgboost, lightgbm)",Нейронні мережі (deep learning),Оцінювання якості алгоритмів,Computer vision - комп'ютерний зір,"NLP - language processing, обробки мови і текстів","Очікування від курсу (що хотіли би вивчити, на яких темах поставити акцент)",Чи хотіли би ви брати участь у проектах по машинному навчанню в супутникових даних?
2023-09-04 21:23:14.583,"ФБ-01, ФБ-02, ФБ-03, ФБ-04, ФБ-05","Вмію налаштовувати оточення, користувався jupyter notebook","Вмію писати зрізи по таблицям, ітеруватися по ним, будувати статистику, графіки тощо",Стикаюсь вперше,Стикаюсь вперше,Стикаюсь вперше,Стикаюсь вперше,Стикаюсь вперше,Стикаюсь вперше,Стикаюсь вперше,Стикаюсь вперше,"Стикаюсь вперше, не працював із зображеннями","Стикаюсь вперше, не працював із текстами","очікую що цей курс допоможе мені розвинути навички, необхідні для вирішення реальних завдань у світі машинного навчання. (відповідь допоміг надати GPT-3.5)",ні
2023-09-04 21:23:36.148,"ФБ-01, ФБ-02, ФБ-03, ФБ-04, ФБ-05",Писав лабки на Python на інших предметах,"Вмію завантажувати дані у pandas, користуватись ними як звичайним масивом","Користуюсь платформою, писав там код",Стикаюсь вперше,Стикаюсь вперше,Стикаюсь вперше,Стикаюсь вперше,Стикаюсь вперше,Стикаюсь вперше,Стикаюсь вперше,"Стикаюсь вперше, не працював із зображеннями","Стикаюсь вперше, не працював із текстами","Далекий час для себе зрозумів, що будь-яка айті діяльність - не моє:) Саме тому більше року розвиваюсь в HR. З цього такі очікування: вміти робити базові речі, щоб розуміти, про що говорять досвідчені люди і могти розібратись самому.",ні
2023-09-04 21:26:14.473,"ФБ-01, ФБ-02, ФБ-03, ФБ-04, ФБ-05","Вмію налаштовувати оточення, користувався jupyter notebook","Вмію писати зрізи по таблицям, ітеруватися по ним, будувати статистику, графіки тощо",Стикаюсь вперше,Стикаюсь вперше,Стикаюсь вперше,Стикаюсь вперше,Стикаюсь вперше,Стикаюсь вперше,Стикаюсь вперше,Стикаюсь вперше,Можу використовувати OpenCV і DL фреймворки в комбінації для розв'язання більш складних задач,"Можу працювати з текстами на рівні базової бібліотеки (входження, великі/малі літери, прості операції)",Хочу більш поглиблено вивчати цю сферу,так
2023-09-04 21:28:38.059,"ФБ-01, ФБ-02, ФБ-03, ФБ-04, ФБ-05",Писав лабки на Python на інших предметах,Стикаюсь вперше,Стикаюсь вперше,Стикаюсь вперше,"Розумію алгоритм, можу реалізувати ""from scratch""","Розумію алгоритм, можу реалізувати ""from scratch""","Розумію алгоритм, можу реалізувати ""from scratch""",Стикаюсь вперше,Стикаюсь вперше,Стикаюсь вперше,"Стикаюсь вперше, не працював із зображеннями","Стикаюсь вперше, не працював із текстами",-,поки не впевнений
2023-09-04 21:39:53.213,"ФБ-01, ФБ-02, ФБ-03, ФБ-04, ФБ-05","Вмію налаштовувати оточення, користувався jupyter notebook","Вмію писати зрізи по таблицям, ітеруватися по ним, будувати статистику, графіки тощо","Користуюсь платформою, пишу код регулярно, вмію шукати датасети, беру участь в змаганнях (Kaggle)","Можу самостійно реалізувати ""from scratch""","Розумію алгоритм, можу реалізувати ""from scratch""",Орієнтуюсь в параметрах алгоритму та можу їх регулювати відповідно до задачі,"Розумію алгоритм, можу реалізувати ""from scratch""",Орієнтуюсь в параметрах алгоритму та можу їх регулювати відповідно до задачі,"Можу самостійно реалізовувати свої мережі, або донавчати існуючі архітектури в Pytorch/Tensorflow","Розумію більш складні метрики Precision/Recall, ROC-AUC, можу регулювати поведінку алгоритму під різні типи помилок",Можу використовувати OpenCV і DL фреймворки в комбінації для розв'язання більш складних задач,"Знайомий із класичним NLP, також знаю складніші фреймворки для обробки текстів (nltk, spacy, gensim, transformers)",DL,поки не впевнений
2023-09-04 21:53:34.858,"ФБ-01, ФБ-02, ФБ-03, ФБ-04, ФБ-05","Вмію налаштовувати оточення, користувався jupyter notebook","Вмію завантажувати дані у pandas, користуватись ними як звичайним масивом","Користуюсь платформою, писав там код",Стикаюсь вперше,Стикаюсь вперше,Стикаюсь вперше,Стикаюсь вперше,Стикаюсь вперше,Стикаюсь вперше,Стикаюсь вперше,"Стикаюсь вперше, не працював із зображеннями","Стикаюсь вперше, не працював із текстами","Виходить, очікую познайомитись з пунктами, на які відповів ""стикаюсь вперше"" 🤓
Бажано ""для маленьких і дурних з нуля"" 🤓",поки не впевнений
2023-09-04 22:08:37.538,"ФІ-01, ФІ-02","Вмію налаштовувати оточення, користувався jupyter notebook","Вмію писати зрізи по таблицям, ітеруватися по ним, будувати статистику, графіки тощо","Користуюсь платформою, пишу код регулярно, вмію шукати датасети, беру участь в змаганнях (Kaggle)","Можу самостійно реалізувати ""from scratch""","Розумію алгоритм, можу реалізувати ""from scratch""","Розумію алгоритм, можу реалізувати ""from scratch""",Користуюсь класами із sklearn на базових параметрах,"Розумію алгоритм, можу реалізувати ""from scratch""","Можу самостійно реалізовувати свої мережі, або донавчати існуючі архітектури в Pytorch/Tensorflow","Розумію більш складні метрики Precision/Recall, ROC-AUC, можу регулювати поведінку алгоритму під різні типи помилок",Можу використовувати OpenCV і DL фреймворки в комбінації для розв'язання більш складних задач,"Знайомий із класичним NLP, також знаю складніші фреймворки для обробки текстів (nltk, spacy, gensim, transformers)","Хотів би закріпити свої знання у машинному навчанні, а також покращити знання по деяким алгоритмам, для прикладу svm",поки не впевнений
2023-09-04 22:25:53.533,"ФБ-01, ФБ-02, ФБ-03, ФБ-04, ФБ-05","Вмію налаштовувати оточення, користувався jupyter notebook","Вмію завантажувати дані у pandas, користуватись ними як звичайним масивом","Користуюсь платформою, писав там код",Знаю постановку задачі та користуюсь класами із sklearn,Користуюсь класами із sklearn на базових параметрах,Користуюсь класами із sklearn на базових параметрах,Користуюсь класами із sklearn на базових параметрах,Користуюсь класами із sklearn/xgboost/lightgbm на базових параметрах,Стикаюсь вперше,Стикаюсь вперше,"Стикаюсь вперше, не працював із зображеннями","Можу працювати з текстами на рівні базової бібліотеки (входження, великі/малі літери, прості операції)",Поки не знаю :),поки не впевнений
2023-09-04 23:24:01.298,"ФБ-01, ФБ-02, ФБ-03, ФБ-04, ФБ-05","Вмію налаштовувати оточення, користувався jupyter notebook","Вмію писати зрізи по таблицям, ітеруватися по ним, будувати статистику, графіки тощо","Користуюсь платформою, писав там код",Знаю постановку задачі та користуюсь класами із sklearn,Користуюсь класами із sklearn на базових параметрах,Стикаюсь вперше,Стикаюсь вперше,Стикаюсь вперше,Стикаюсь вперше,"Знайомий із деякими метриками (наприклад, Accuracy для класифікації і MSE для задач регресії)","Стикаюсь вперше, не працював із зображеннями","Стикаюсь вперше, не працював із текстами","хотілось би почати з бази, щоб надалі розвинути свої навички на міцній основі)",поки не впевнений
2023-09-05 08:28:30.450,"ФІ-01, ФІ-02","Вмію налаштовувати оточення, користувався jupyter notebook","Вмію завантажувати дані у pandas, користуватись ними як звичайним масивом","Користуюсь платформою, писав там код",Знаю постановку задачі та користуюсь класами із sklearn,Користуюсь класами із sklearn на базових параметрах,Стикаюсь вперше,Користуюсь класами із sklearn на базових параметрах,Стикаюсь вперше,Стикаюсь вперше,Стикаюсь вперше,"Стикаюсь вперше, не працював із зображеннями","Стикаюсь вперше, не працював із текстами","Хотів би вивчити статистичне машинне навчання, а також ази нейронних мереж",так
